shortName,industry,symbol,exchange,currentPrice,heldPercentInstitutions,dividendYield,exDividendDate,forwardPE,trailingPE,priceToBook,nextEarningsDate,4Quarters_increasing_revenue,4Quarters_increasing_profit,4years_increasing_revenue,4years_increasing_profit,pct_chg_5y,pct_chg_1y,pct_chg_6mo,pct_chg_3mo,pct_chg_1mo,pct_chg_1wk,fundamentals_url,daily_chart,5mo_chart
Agnico Eagle Mines Limited,Gold,AEM,NYSE,52.439998626708984,67.38,3.56,Wed Nov 30 00:00:00 2022,16.44,19.14,2.24,2023-02-21 00:00:00,False,False,True,True,28.09,6.61,21.96,21.78,-5.48,-6.32,https://g.co/finance/AEM:NYSE,https://stockcharts.com/h-sc/ui?s=AEM&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=AEM&p=D&b=5&g=0&id=p05555723250
Baxter International Inc.,Medical Instruments & Supplies,BAX,NYSE,46.68000030517578,88.7,2.15,Thu Sep  1 00:00:00 2022,11.58,22.55,2.78,2023-02-15 00:00:00,True,False,True,False,-24.08,-46.09,-18.57,-7.23,-10.8,3.41,https://g.co/finance/BAX:NYSE,https://stockcharts.com/h-sc/ui?s=BAX&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=BAX&p=D&b=5&g=0&id=p05555723250
"Best Buy Co., Inc.",Specialty Retail,BBY,NYSE,90.31999969482422,82.52,5.35,Mon Sep 19 00:00:00 2022,11.36,13.2,5.06,2023-03-01 00:00:00,False,False,True,True,54.26,-7.44,21.15,33.87,10.23,1.8,https://g.co/finance/BBY:NYSE,https://stockcharts.com/h-sc/ui?s=BBY&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=BBY&p=D&b=5&g=0&id=p05555723250
"Cardinal Health, Inc.",Medical Distribution,CAH,NYSE,78.66999816894531,92.64,2.6500002,Fri Sep 30 00:00:00 2022,12.63,16.72,11.73,2023-02-01 00:00:00,True,False,True,True,46.75,56.26,32.4,-0.43,2.17,1.85,https://g.co/finance/CAH:NYSE,https://stockcharts.com/h-sc/ui?s=CAH&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=CAH&p=D&b=5&g=0&id=p05555723250
"Citizens Financial Group, Inc.",Banks—Regional,CFG,NYSE,44.439998626708984,92.09,3.88,Mon Jan 30 00:00:00 2023,10.63,12.48,0.91,2023-04-19 00:00:00,True,False,False,False,24.23,-14.33,23.88,11.85,8.13,2.59,https://g.co/finance/CFG:NYSE,https://stockcharts.com/h-sc/ui?s=CFG&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=CFG&p=D&b=5&g=0&id=p05555723250
"Church & Dwight Company, Inc.",Household & Personal Products,CHD,NYSE,82.9000015258789,84.12,1.37,Mon Nov 14 00:00:00 2022,25.35,26.92,6.33,2023-02-03 00:00:00,False,False,True,True,86.49,-16.92,-4.05,13.78,0.13,2.87,https://g.co/finance/CHD:NYSE,https://stockcharts.com/h-sc/ui?s=CHD&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=CHD&p=D&b=5&g=0&id=p05555723250
Canadian National Railway Compa,Railroads,CNI,NYSE,119.86000061035156,74.24,1.8099998999999998,Wed Dec  7 00:00:00 2022,22.03,29.74,4.27,2023-04-24 00:00:00,True,False,False,False,63.19,-1.49,-5.06,0.52,-0.93,0.65,https://g.co/finance/CNI:NYSE,https://stockcharts.com/h-sc/ui?s=CNI&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=CNI&p=D&b=5&g=0&id=p05555723250
CVS Health Corporation,Healthcare Plans,CVS,NYSE,85.7699966430664,79.99,2.3699999,Thu Oct 20 00:00:00 2022,10.59,15.7,1.62,2023-02-07 00:00:00,True,False,True,True,34.72,-21.61,-14.71,-13.26,-6.11,-1.47,https://g.co/finance/CVS:NYSE,https://stockcharts.com/h-sc/ui?s=CVS&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=CVS&p=D&b=5&g=0&id=p05555723250
Quest Diagnostics Incorporated,Diagnostics & Research,DGX,NYSE,142.80999755859375,95.8,1.8499999999999999,Mon Oct  3 00:00:00 2022,17.9,10.84,2.77,2023-02-01 00:00:00,False,False,True,True,57.86,8.02,4.48,-2.28,-6.62,-3.82,https://g.co/finance/DGX:NYSE,https://stockcharts.com/h-sc/ui?s=DGX&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=DGX&p=D&b=5&g=0&id=p05555723250
"D.R. Horton, Inc.",Residential Construction,DHI,NYSE,99.47000122070312,87.17,1.2,Wed Aug  3 00:00:00 2022,8.52,11.53,2.77,2023-01-31 00:00:00,False,False,True,True,135.82,19.79,28.75,32.4,7.22,0.79,https://g.co/finance/DHI:NYSE,https://stockcharts.com/h-sc/ui?s=DHI&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=DHI&p=D&b=5&g=0&id=p05555723250
Dover Corporation,Specialty Industrial Machinery,DOV,NYSE,159.61000061035156,94.05,1.5800001000000001,Tue Aug 30 00:00:00 2022,21.03,31.3,6.57,2023-04-19 00:00:00,True,False,False,True,113.48,-0.73,18.67,20.39,17.21,5.12,https://g.co/finance/DOV:NYSE,https://stockcharts.com/h-sc/ui?s=DOV&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=DOV&p=D&b=5&g=0&id=p05555723250
DTE Energy Company,Utilities—Regulated Electric,DTE,NYSE,112.76000213623047,74.24,3.2399999999999998,Fri Sep 16 00:00:00 2022,15.18,15.32,1.74,2023-02-08 00:00:00,True,False,False,False,52.87,-3.25,-13.09,1.14,-5.69,-1.37,https://g.co/finance/DTE:NYSE,https://stockcharts.com/h-sc/ui?s=DTE&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=DTE&p=D&b=5&g=0&id=p05555723250
Emerson Electric Company,Specialty Industrial Machinery,EMR,NYSE,91.38999938964844,76.74,2.4,Thu Aug 11 00:00:00 2022,21.81,26.45,6.14,2023-01-31 00:00:00,True,False,False,False,52.42,-4.03,3.2,3.17,-4.22,1.9,https://g.co/finance/EMR:NYSE,https://stockcharts.com/h-sc/ui?s=EMR&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=EMR&p=D&b=5&g=0&id=p05555723250
Entergy Corporation,Utilities—Regulated Electric,ETR,NYSE,108.08000183105469,90.7,3.85,Wed Aug 10 00:00:00 2022,17.16,13.56,1.97,2023-02-21 00:00:00,True,False,False,False,72.53,1.05,-8.58,-0.37,-1.03,0.36,https://g.co/finance/ETR:NYSE,https://stockcharts.com/h-sc/ui?s=ETR&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=ETR&p=D&b=5&g=0&id=p05555723250
"General Mills, Inc.",Packaged Foods,GIS,NYSE,75.4800033569336,78.45,2.76,Thu Oct  6 00:00:00 2022,20.35,18.32,5.19,2023-03-21 00:00:00,False,True,True,True,66.61,14.26,-1.15,-3.92,-10.86,-3.68,https://g.co/finance/GIS:NYSE,https://stockcharts.com/h-sc/ui?s=GIS&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=GIS&p=D&b=5&g=0&id=p05555723250
International Flavors & Fragran,Specialty Chemicals,IFF,NYSE,113.33000183105469,94.16,3.3800002000000005,Thu Sep 22 00:00:00 2022,17.2,35.31,1.92,2023-02-07 00:00:00,True,False,True,False,-9.09,-8.2,-9.28,17.83,4.78,0.77,https://g.co/finance/IFF:NYSE,https://stockcharts.com/h-sc/ui?s=IFF&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=IFF&p=D&b=5&g=0&id=p05555723250
Lennar Corporation,Residential Construction,LEN,NYSE,104.80999755859375,95.3,1.8900000000000001,Wed Oct 12 00:00:00 2022,9.28,10.72,1.74,2023-03-14 00:00:00,False,False,True,True,90.58,13.89,20.93,32.25,12.39,5.63,https://g.co/finance/LEN:NYSE,https://stockcharts.com/h-sc/ui?s=LEN&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=LEN&p=D&b=5&g=0&id=p05555723250
"Marsh & McLennan Companies, Inc",Insurance Brokers,MMC,NYSE,171.8800048828125,92.26,1.53,Thu Oct  6 00:00:00 2022,28.18,39.29,9.27,2023-04-19 00:00:00,False,False,True,True,126.34,13.74,2.94,7.54,1.92,-1.73,https://g.co/finance/MMC:NYSE,https://stockcharts.com/h-sc/ui?s=MMC&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=MMC&p=D&b=5&g=0&id=p05555723250
Morgan Stanley,Capital Markets,MS,NYSE,99.43000030517578,63.4,3.8399997999999997,Fri Oct 28 00:00:00 2022,14.35,13.01,1.89,2023-04-12 00:00:00,False,False,True,True,118.08,-1.03,18.56,18.13,13.45,2.16,https://g.co/finance/MS:NYSE,https://stockcharts.com/h-sc/ui?s=MS&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=MS&p=D&b=5&g=0&id=p05555723250
"ONEOK, Inc.",Oil & Gas Midstream,OKE,NYSE,68.55999755859375,68.64,6.4,Mon Oct 31 00:00:00 2022,20.34,26.5,5.01,2023-02-27 00:00:00,True,False,False,False,74.67,15.67,22.56,14.45,7.87,nan,https://g.co/finance/OKE:NYSE,https://stockcharts.com/h-sc/ui?s=OKE&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=OKE&p=D&b=5&g=0&id=p05555723250
"Pfizer, Inc.",Drug Manufacturers—General,PFE,NYSE,44.060001373291016,70.08,3.5099998,Thu Nov  3 00:00:00 2022,13.94,25.81,3.88,2023-02-06 00:00:00,True,True,True,False,60.66,-17.2,-11.12,-5.84,-8.95,-0.23,https://g.co/finance/PFE:NYSE,https://stockcharts.com/h-sc/ui?s=PFE&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=PFE&p=D&b=5&g=0&id=p05555723250
Procter & Gamble Company (The),Household & Personal Products,PG,NYSE,142.61000061035156,66.25,2.79,Thu Oct 20 00:00:00 2022,23.93,26.22,7.64,2023-04-20 00:00:00,False,False,True,True,101.32,-11.05,-0.09,6.74,-5.73,1.13,https://g.co/finance/PG:NYSE,https://stockcharts.com/h-sc/ui?s=PG&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=PG&p=D&b=5&g=0&id=p05555723250
Regions Financial Corporation,Banks—Regional,RF,NYSE,24.0,77.02,3.7600000000000002,Wed Dec  7 00:00:00 2022,12.18,15.78,1.42,2023-04-21 00:00:00,True,False,False,False,54.86,2.4,16.32,7.86,8.65,3.45,https://g.co/finance/RF:NYSE,https://stockcharts.com/h-sc/ui?s=RF&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=RF&p=D&b=5&g=0&id=p05555723250
Charles Schwab Corporation (The,Capital Markets,SCHW,NYSE,79.0199966430664,84.5,1.21,Thu Aug 11 00:00:00 2022,23.11,34.09,2.67,2023-04-17 00:00:00,True,False,True,False,64.37,-13.05,15.44,-0.79,-5.19,2.07,https://g.co/finance/SCHW:NYSE,https://stockcharts.com/h-sc/ui?s=SCHW&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=SCHW&p=D&b=5&g=0&id=p05555723250
Suncor Energy  Inc.,Oil & Gas Integrated,SU,NYSE,32.91999816894531,65.32,4.0599998,Thu Sep  1 00:00:00 2022,16.46,2351.43,1.38,2023-01-31 00:00:00,True,True,False,False,16.64,19.63,9.62,-7.82,10.4,-3.29,https://g.co/finance/SU:NYSE,https://stockcharts.com/h-sc/ui?s=SU&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=SU&p=D&b=5&g=0&id=p05555723250
TE Connectivity Ltd. New Switze,Electronic Components,TEL,NYSE,133.88999938964844,99.06,1.8800000000000001,Thu Nov 17 00:00:00 2022,19.84,41.34,4.58,2022-11-02 00:00:00,True,False,False,False,45.84,-6.3,1.34,15.26,10.28,6.69,https://g.co/finance/TEL:NYSE,https://stockcharts.com/h-sc/ui?s=TEL&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=TEL&p=D&b=5&g=0&id=p05555723250
Truist Financial Corporation,Banks—Regional,TFC,NYSE,50.09000015258789,75.54,4.71,Wed Nov  9 00:00:00 2022,10.31,11.82,1.07,2023-04-20 00:00:00,False,False,True,True,13.2,-18.54,3.93,16.08,11.68,3.38,https://g.co/finance/TFC:NYSE,https://stockcharts.com/h-sc/ui?s=TFC&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=TFC&p=D&b=5&g=0&id=p05555723250
Target Corporation,Discount Stores,TGT,NYSE,176.75999450683594,80.07,2.5899999,Tue Nov 15 00:00:00 2022,18.34,20.46,6.13,2023-02-27 00:00:00,False,False,True,True,181.28,-15.67,7.46,11.43,13.05,4.79,https://g.co/finance/TGT:NYSE,https://stockcharts.com/h-sc/ui?s=TGT&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=TGT&p=D&b=5&g=0&id=p05555723250
"The Travelers Companies, Inc.",Insurance—Property & Casualty,TRV,NYSE,182.75999450683594,85.93,2.11,Thu Dec  8 00:00:00 2022,14.88,16.52,1.63,2023-04-17 00:00:00,False,False,True,True,45.12,8.59,14.24,-0.74,-3.36,-4.37,https://g.co/finance/TRV:NYSE,https://stockcharts.com/h-sc/ui?s=TRV&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=TRV&p=D&b=5&g=0&id=p05555723250
"Tyson Foods, Inc.",Farm Products,TSN,NYSE,64.02999877929688,86.75,2.71,Wed Nov 30 00:00:00 2022,9.97,11.56,1.49,2023-02-06 00:00:00,True,False,True,False,-2.16,-35.06,-20.06,-4.17,-0.74,-2.62,https://g.co/finance/TSN:NYSE,https://stockcharts.com/h-sc/ui?s=TSN&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=TSN&p=D&b=5&g=0&id=p05555723250
VICI Properties Inc.,REIT—Diversified,VICI,NYSE,34.5099983215332,107.15,5.0300002,Wed Sep 21 00:00:00 2022,16.67,15.4,1.95,2023-02-21 00:00:00,True,False,True,True,116.89,28.8,3.88,8.52,8.01,1.86,https://g.co/finance/VICI:NYSE,https://stockcharts.com/h-sc/ui?s=VICI&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=VICI&p=D&b=5&g=0&id=p05555723250
Verizon Communications Inc.,Telecom Services,VZ,NYSE,41.5099983215332,64.7,7.21,Thu Oct  6 00:00:00 2022,8.03,9.1,2.41,2023-04-25 00:00:00,True,False,False,False,-3.0,-17.57,-6.8,13.22,2.51,-0.14,https://g.co/finance/VZ:NYSE,https://stockcharts.com/h-sc/ui?s=VZ&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=VZ&p=D&b=5&g=0&id=p05555723250
"Waste Management, Inc.",Waste Management,WM,NYSE,151.05999755859375,82.45,1.63,Thu Sep  8 00:00:00 2022,27.72,41.27,8.58,2023-01-31 00:00:00,True,True,True,False,102.31,5.83,-10.0,-4.0,-3.73,-1.33,https://g.co/finance/WM:NYSE,https://stockcharts.com/h-sc/ui?s=WM&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=WM&p=D&b=5&g=0&id=p05555723250
NASDAQ Composite,0,QQQ,NASDAQ,12006.9501953125,0,0,,0,0,0,NA,NA,NA,NA,NA,72.33,-14.83,-5.04,13.65,14.8,3.65,https://g.co/finance/.IXIC:INDEXNASDAQ,https://stockcharts.com/h-sc/ui?s=%24COMPQ&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=%24COMPQ&p=D&b=5&g=0&id=p05555723250
NYSE COMPOSITE (DJ),0,SPY,AMEX,15999.400390625,0,0,,0,0,0,NA,NA,NA,NA,NA,27.25,-4.2,4.53,8.04,4.23,-0.23,https://g.co/finance/NYA:INDEXNYSEGIS,https://stockcharts.com/h-sc/ui?s=%24NYA&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=%24NYA&p=D&b=5&g=0&id=p05555723250
American Electric Power Company,Utilities—Regulated Electric,AEP,NASDAQ,92.11000061035156,75.71,3.81,Wed Nov  9 00:00:00 2022,18.5,20.16,2.19,2023-02-22 00:00:00,False,False,False,True,64.15,3.46,-6.25,3.8,-5.96,-0.82,https://g.co/finance/AEP:NASDAQ,https://stockcharts.com/h-sc/ui?s=AEP&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=AEP&p=D&b=5&g=0&id=p05555723250
CME Group Inc.,Financial Data & Stock Exchanges,CME,NASDAQ,176.5500030517578,88.03,2.32,Thu Sep  8 00:00:00 2022,24.15,33.12,2.38,2023-02-07 00:00:00,False,False,False,True,34.95,-24.87,-8.41,4.01,3.8,0.34,https://g.co/finance/CME:NASDAQ,https://stockcharts.com/h-sc/ui?s=CME&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=CME&p=D&b=5&g=0&id=p05555723250
AFLAC Incorporated,Insurance—Life,AFL,NYSE,69.38999938964844,60.66,2.55,Tue Aug 23 00:00:00 2022,13.55,8.92,1.47,2023-01-31 00:00:00,False,True,True,False,79.49,10.06,18.72,3.89,-3.52,-5.59,https://g.co/finance/AFL:NYSE,https://stockcharts.com/h-sc/ui?s=AFL&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=AFL&p=D&b=5&g=0&id=p05555723250
"Caterpillar, Inc.",Farm & Heavy Construction Machinery,CAT,NYSE,247.75999450683594,71.06,2.26,Fri Oct 21 00:00:00 2022,21.12,39.62,8.17,2023-01-26 00:00:00,True,False,False,False,85.6,27.8,36.47,9.26,3.14,-5.25,https://g.co/finance/CAT:NYSE,https://stockcharts.com/h-sc/ui?s=CAT&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=CAT&p=D&b=5&g=0&id=p05555723250
Visa Inc.,Credit Services,V,NYSE,230.1300048828125,97.58,0.77,Thu Aug 11 00:00:00 2022,32.6,47.57,14.31,2023-04-24 00:00:00,False,False,False,False,97.58,1.52,7.88,17.09,5.27,0.45,https://g.co/finance/V:NYSE,https://stockcharts.com/h-sc/ui?s=V&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=V&p=D&b=5&g=0&id=p05555723250
Johnson & Johnson,Drug Manufacturers—General,JNJ,NYSE,164.61000061035156,70.62,2.6199998,Mon Nov 21 00:00:00 2022,15.83,29.08,6.58,2023-04-17 00:00:00,False,False,True,False,44.09,-1.57,-2.91,-3.39,-8.62,0.73,https://g.co/finance/JNJ:NYSE,https://stockcharts.com/h-sc/ui?s=JNJ&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=JNJ&p=D&b=5&g=0&id=p05555723250
Duke Energy Corporation (Holdin,Utilities—Regulated Electric,DUK,NYSE,100.58000183105469,64.48,4.42,Thu Nov 17 00:00:00 2022,18.46,58.51,1.68,2023-02-08 00:00:00,False,False,False,False,61.85,0.26,-7.76,9.05,-4.04,-1.83,https://g.co/finance/DUK:NYSE,https://stockcharts.com/h-sc/ui?s=DUK&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=DUK&p=D&b=5&g=0&id=p05555723250
